x,y,heading,curvature
0.3400,-0.4994,-0.352925,-36.937750
0.3900,-0.5179,-0.309313,0.975162
0.4400,-0.5314,-0.227140,1.467429
0.4900,-0.5410,-0.159544,1.176096
0.5400,-0.5475,-0.108493,0.842529
0.5900,-0.5519,-0.075013,0.488917
0.6400,-0.5550,-0.059543,-0.077550
0.6900,-0.5578,-0.082761,-0.516170
0.7400,-0.5633,-0.111303,-0.873523
0.7900,-0.5690,-0.170281,-1.260424
0.8400,-0.5805,-0.238794,-0.498059
0.8900,-0.5933,-0.222499,0.214119
0.9400,-0.6031,-0.216896,-0.282351
0.9900,-0.6154,-0.251144,-0.411222
1.0400,-0.6288,-0.259616,0.400332
1.0900,-0.6419,-0.209115,0.978407
1.1400,-0.6500,-0.159714,0.000000
1.1900,-0.6581,-0.209115,-0.978407
1.2400,-0.6712,-0.259616,-0.081700
1.2900,-0.6846,-0.217758,0.804452
1.3400,-0.6933,-0.177304,-0.172614
1.3900,-0.7025,-0.234946,-1.127921
1.4400,-0.7173,-0.293116,-0.547890
1.4900,-0.7327,-0.293116,0.547890
1.5400,-0.7475,-0.234946,1.127921
1.5900,-0.7567,-0.177304,0.172614
1.6400,-0.7654,-0.217758,-0.804452
1.6900,-0.7788,-0.259616,-0.236931
1.7400,-0.7919,-0.242635,0.579427
1.7900,-0.8035,-0.199570,0.788236
1.8400,-0.8122,-0.162359,0.687089
1.8900,-0.8199,-0.130031,0.635215
1.9400,-0.8252,-0.098324,0.400000
1.9900,-0.8298,-0.090226,-0.678786
2.0435,-0.8346,-0.167473,-1.896217
2.0941,-0.8474,-0.290766,-2.111879
2.1457,-0.8652,-0.394791,-2.008382
2.1924,-0.8883,-0.505274,-2.067570
2.2385,-0.9165,-0.614560,-2.676336
2.2785,-0.9491,-0.785999,-2.852359
2.3138,-0.9919,-0.910959,-1.724239
2.3491,-1.0401,-0.991152,-0.924311
2.3795,-1.0924,-1.024142,-0.602768
2.4138,-1.1465,-1.066501,-0.965655
2.4409,-1.2035,-1.151213,-0.982286
2.4634,-1.2576,-1.184434,-0.203528
2.4842,-1.3099,-1.171952,0.779855
2.5058,-1.3581,-1.095292,1.584940
2.5310,-1.4009,-1.006596,2.563872
2.5557,-1.4370,-0.844291,4.401615
2.5856,-1.4623,-0.650669,4.742241
2.6160,-1.4829,-0.499869,3.959519
2.6523,-1.4987,-0.352333,4.048878
2.6893,-1.5099,-0.184492,3.429508
2.7320,-1.5136,-0.081561,1.295732
2.7818,-1.5174,-0.053760,0.291066
2.8329,-1.5190,-0.050125,-0.728280
2.8900,-1.5229,-0.130192,-1.655184
2.9435,-1.5335,-0.241601,-1.989903
2.9941,-1.5485,-0.341833,-1.898071
3.0422,-1.5686,-0.435663,-1.636106
3.0918,-1.5940,-0.517059,-1.487003
3.1404,-1.6244,-0.606294,-1.577131
3.1860,-1.6593,-0.700472,-2.070870
3.2269,-1.6974,-0.839044,-2.319749
3.2621,-1.7441,-0.962174,-1.941033
3.2944,-1.7943,-1.075319,-2.225567
3.3171,-1.8459,-1.227688,-2.879693
3.3310,-1.8965,-1.382695,-2.704711
3.3370,-1.9500,-1.514475,-2.238877
3.3368,-2.0000,-1.616014,-1.278998
3.3324,-2.0500,-1.639016,-0.898670
3.3300,-2.1000,-1.705718,-1.655378
3.3189,-2.1500,-1.804886,-0.899559
3.3061,-2.2000,-1.800171,0.204749
3.2955,-2.2500,-1.783805,0.160548
3.2845,-2.3000,-1.783805,0.168998
3.2739,-2.3500,-1.766451,0.845612
3.2647,-2.4000,-1.696822,1.285652
3.2612,-2.4500,-1.637214,0.089900
3.2580,-2.5000,-1.687905,-1.112560
3.2495,-2.5500,-1.748977,-0.681505
3.2400,-2.6000,-1.757728,0.000000
3.2305,-2.6500,-1.748977,0.345066
3.2220,-2.7000,-1.722561,0.699297
3.2152,-2.7500,-1.678075,0.386912
3.2112,-2.8000,-1.683886,0.031071
3.2039,-2.8500,-1.674943,0.324974
3.2008,-2.9000,-1.651166,-0.031368
3.1958,-2.9500,-1.678075,-0.008895
3.1900,-3.0000,-1.652065,0.407698
3.1877,-3.0500,-1.637214,0.229244
3.1833,-3.1000,-1.629101,-0.549222
3.1819,-3.1500,-1.691920,-1.938642
3.1712,-3.2000,-1.821941,-1.562644
3.1562,-3.2500,-1.856431,-0.675465
3.1418,-3.3000,-1.892275,-0.653090
3.1229,-3.3500,-1.925296,-0.556097
3.1048,-3.4000,-1.951693,-0.676949
3.0829,-3.4500,-1.997594,-0.211614
3.0593,-3.5000,-1.975634,0.804680
3.0400,-3.5500,-1.908479,0.345865
3.0242,-3.6000,-1.940333,-0.946594
3.0013,-3.6500,-2.008414,-0.268992
2.9774,-3.7000,-1.971421,0.346220
2.9589,-3.7500,-1.971421,-0.070657
2.9351,-3.8000,-1.979069,-0.209900
2.9157,-3.8500,-1.994215,-0.342883
